year_intrval,gdp_amount,edu_att_rate 
1965,2.130304480139226,57.96460176991152
1970,3.193177178992435,58.46774193548387
1975,7.234103655512684,57.85714285714286
1980,15.627710155156445,57.19557195571956
1985,17.59013258424232,57.04387990762125
1990,32.805659887080594,58.34970530451867
1995,50.1912775401734,59.13734392735528
2000,54.114338391199446,59.83050847457626
2005,64.464503479451,60.586080586080584
2010,97.35246672254875,61.002604166666664
